               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085587,            0.097624,            0.093387,            0.004797,            0.099004,           0.0069654,           0.0037309,            0.065649,            0.030199,            0.084456,             0.07013,           0.0033188,           0.0033188
                   1,            0.059455,            0.092467,            0.081711,             0.01268,             0.34927,            0.024134,            0.010817,            0.060121,            0.023307,            0.077531,            0.039867,           0.0063887,           0.0063887
                   2,            0.055168,            0.085231,            0.078184,             0.61931,             0.10388,            0.047204,            0.025549,            0.045787,            0.021996,            0.074783,           0.0093396,           0.0091947,           0.0091947
                   3,            0.049973,            0.079645,            0.074931,             0.62817,            0.093628,            0.071364,            0.028821,             0.05619,            0.021437,            0.070682,            0.008812,            0.008812,            0.008812
                   4,            0.047037,            0.074298,            0.070525,             0.61927,             0.14092,             0.10602,            0.055253,             0.04327,            0.021506,            0.065233,            0.008812,            0.008812,            0.008812
                   5,            0.044607,            0.069785,            0.066151,             0.60793,             0.17096,             0.13067,            0.051545,            0.053668,             0.02156,            0.061507,            0.008416,            0.008416,            0.008416
                   6,            0.042832,            0.066143,            0.062187,             0.60461,             0.19181,             0.15232,            0.080603,            0.042578,            0.021869,            0.058386,             0.00802,             0.00802,             0.00802
                   7,            0.047423,            0.086427,            0.062538,              0.6323,             0.18345,             0.16816,            0.076478,            0.050724,            0.020536,            0.054233,            0.007624,            0.007624,            0.007624
                   8,            0.042599,            0.068999,             0.05698,             0.66106,             0.20895,             0.20553,            0.089238,             0.04939,            0.020496,            0.052792,            0.007228,            0.007228,            0.007228
                   9,            0.039923,            0.059321,            0.053179,             0.58765,             0.24801,              0.2081,             0.10664,             0.04261,             0.02103,            0.052225,            0.006832,            0.006832,            0.006832
                  10,            0.038649,            0.055072,            0.050086,             0.60308,             0.23995,              0.2052,            0.088736,            0.050025,            0.022116,            0.051164,            0.006436,            0.006436,            0.006436
                  11,            0.037354,            0.052142,            0.047541,             0.58907,              0.2707,             0.23873,             0.12503,            0.043709,            0.022206,            0.049555,             0.00604,             0.00604,             0.00604
                  12,             0.04276,            0.079167,             0.05325,             0.61072,             0.25908,             0.25067,             0.12578,             0.04488,            0.020567,            0.047478,            0.005644,            0.005644,            0.005644
                  13,            0.043644,            0.081136,             0.05295,             0.47288,             0.32279,             0.26483,             0.13387,            0.045362,            0.019729,            0.046338,            0.005248,            0.005248,            0.005248
                  14,            0.037238,             0.05863,            0.045396,             0.50014,             0.31837,             0.26573,             0.12618,            0.046145,            0.020729,            0.044436,            0.004852,            0.004852,            0.004852
                  15,            0.035113,            0.048442,            0.041422,             0.53843,             0.31231,             0.26485,             0.12425,            0.047345,            0.021903,            0.045054,            0.004456,            0.004456,            0.004456
                  16,            0.034187,            0.044951,            0.038762,             0.51911,              0.3074,             0.27336,              0.1473,             0.04298,            0.022359,             0.04688,             0.00406,             0.00406,             0.00406
                  17,             0.03318,            0.042695,            0.036493,             0.45685,             0.32878,              0.2807,             0.13703,            0.047002,            0.023113,            0.045468,            0.003664,            0.003664,            0.003664
                  18,             0.03233,            0.040793,             0.03453,             0.42586,             0.36745,              0.2975,              0.1573,            0.043786,            0.023486,             0.04529,            0.003268,            0.003268,            0.003268
                  19,            0.031354,            0.039003,            0.032692,             0.54043,               0.332,              0.3006,             0.15173,            0.046123,            0.023903,             0.04517,            0.002872,            0.002872,            0.002872
                  20,            0.030491,            0.037233,            0.030976,             0.44838,             0.37961,             0.31088,             0.16846,            0.043816,            0.024214,            0.044777,            0.002476,            0.002476,            0.002476
                  21,            0.029549,            0.035419,            0.029449,             0.40187,             0.40009,             0.31891,             0.15844,            0.046157,            0.024747,            0.044256,             0.00208,             0.00208,             0.00208
                  22,            0.038644,            0.073547,            0.044741,             0.57132,             0.33913,             0.34251,              0.1815,            0.042908,            0.020109,            0.041999,            0.001684,            0.001684,            0.001684
                  23,            0.038713,              0.0733,            0.044146,             0.49867,             0.37954,             0.34324,             0.18489,            0.042775,            0.019185,            0.041509,            0.001288,            0.001288,            0.001288
                  24,            0.028605,            0.039994,            0.030261,             0.45805,             0.38515,             0.33214,             0.17105,            0.044205,            0.022473,            0.042416,            0.000892,            0.000892,            0.000892
